origin,year,citation_num,works_cited_num,lat,long
"中国图书馆学报,",2015,133,132,31.186085,121.422547
"中国图书馆学报,",2014,221,215,31.226649,121.408669
"中国图书馆学报,",2014,194,194,30.315060,120.343155
"中国图书馆学报,",2012,214,210,31.185697,121.421741
"中国图书馆学报,",2012,106,103,,
"中国图书馆学报,",2012,199,195,32.109125,118.960688
"中国图书馆学报,",2012,160,159,39.987255,116.322990
"中国图书馆学报,",2012,128,128,32.034985,118.843030
"中国图书馆学报,",2011,265,257,39.987255,116.322990
"中国图书馆学报,",1992,160,159,23.092973,113.291103
"中国图书馆学报,",1999,107,106,30.537860,114.365248
"中国图书馆学报,",1999,100,100,32.085859,118.759310
"中国图书馆学报,",1999,221,221,,
"中国图书馆学报,",1998,144,144,40.411160,116.715622
"中国图书馆学报,",1997,191,191,31.230452,121.390923
"中国图书馆学报,",1997,127,126,39.717673,117.331698
"中国图书馆学报,",1997,353,347,45.708441,126.622339
"图书馆工作与研究,",2013,111,111,39.107432,117.183881
"图书馆工作与研究,",2011,113,113,37.529734,122.060834
"图书馆工作与研究,",2010,123,121,26.033463,119.208187
"图书馆工作与研究,",2008,127,126,40.003863,116.284467
"图书馆工作与研究,",2005,105,105,39.145574,117.021517
"图书馆工作与研究,",2004,126,126,27.700062,111.993497
"图书馆工作与研究,",2003,131,130,33.603063,119.006687
"图书馆工作与研究,",2002,129,129,43.871819,125.318995
"图书馆建设,",2014,206,206,40.004517,116.324409
"图书馆建设,",2013,103,103,43.828060,125.426979
"图书馆建设,",2012,100,100,40.412151,116.681862
"图书馆建设,",2011,264,260,31.186085,121.422547
"图书馆建设,",2011,117,117,39.959910,116.368690
"图书馆建设,",2008,216,215,40.004874,116.324691
"图书馆建设,",2006,102,102,,
"图书馆建设,",2009,122,122,32.054482,118.793579
"图书馆建设,",2009,177,175,39.959910,116.368690
"图书馆建设,",2006,148,148,30.536482,114.374888
"图书馆建设,",2005,119,118,31.226649,121.408669
"图书馆建设,",2005,160,160,39.995304,116.308264
"图书馆建设,",2004,102,102,39.995304,116.308264
"图书馆建设,",2003,113,113,44.576622,129.604782
"图书馆建设,",2003,132,132,34.746599,113.625368
"图书馆建设,",2003,103,101,27.895902,112.922696
"图书馆建设,",2000,112,106,44.570453,129.623153
"图书馆杂志,",2013,110,110,,
"图书馆杂志,",2012,202,200,25.065020,110.300760
"图书馆杂志,",2009,105,105,27.887454,112.860881
"图书馆杂志,",2006,124,124,38.015537,114.457549
"图书馆杂志,",2005,148,147,39.102994,117.165766
"图书馆杂志,",2004,103,102,31.227938,121.404680
"图书馆杂志,",2003,135,131,27.863227,112.908623
"图书馆杂志,",2003,175,175,39.972004,116.315750
"图书馆杂志,",2003,101,101,44.918026,130.530115
"图书馆杂志,",2002,162,155,31.226649,121.408669
"图书馆杂志,",1999,205,205,40.002436,116.326582
"图书馆杂志,",1999,251,251,31.206910,121.445183
"图书馆杂志,",1999,180,179,31.206910,121.445183
"图书馆理论与实践,",2009,109,109,22.968158,113.116502
