origin,year,citation_num,works_cited_num,lat,long
"图书馆论坛,",1998,8,8,30.537860,114.365248
"图书馆论坛,",1998,9,9,23.116225,113.326073
"情报理论与实践,",2012,3,3,30.536660,114.375096
"情报理论与实践,",2012,18,18,34.221769,108.990583
"情报理论与实践,",2012,9,9,39.988010,116.311798
"情报理论与实践,",2012,1,1,43.854536,125.335170
"情报理论与实践,",2012,16,15,34.828674,113.550314
"情报理论与实践,",2012,7,6,39.904694,119.537987
"情报理论与实践,",2012,1,1,,
"情报理论与实践,",2012,20,18,29.561000,103.752000
"情报理论与实践,",2012,8,5,34.780709,113.849865
"情报理论与实践,",2012,4,4,,
"情报理论与实践,",2012,5,4,39.999567,116.331994
"情报理论与实践,",2012,7,7,45.776638,126.681632
"情报理论与实践,",2012,14,13,32.029566,118.859568
"情报理论与实践,",2012,7,7,31.767250,117.184869
"情报理论与实践,",2012,42,37,39.948400,116.308593
"情报理论与实践,",2012,9,7,26.061712,119.200084
"情报理论与实践,",2012,7,6,22.537685,114.026222
"情报理论与实践,",2012,2,1,,
"情报理论与实践,",2012,10,10,26.072605,119.269028
"情报理论与实践,",2012,7,7,28.360899,116.267163
"情报理论与实践,",2012,16,15,27.885885,112.859995
"情报理论与实践,",2012,4,3,36.672069,117.058259
"情报理论与实践,",2012,5,5,31.831289,117.144299
"情报理论与实践,",2012,23,22,28.177377,112.945074
"情报理论与实践,",2012,2,2,28.174528,112.926247
"情报理论与实践,",2012,12,11,43.854536,125.335170
"情报理论与实践,",2012,7,7,39.991745,116.349750
"情报理论与实践,",2012,4,4,,
"情报理论与实践,",2012,21,21,45.708225,126.613250
"情报理论与实践,",2012,10,8,34.123128,108.830240
"情报理论与实践,",2012,7,7,,
"情报理论与实践,",2012,4,4,,
"情报理论与实践,",2012,11,11,,
"情报理论与实践,",2012,3,3,,
"情报理论与实践,",2012,19,16,43.854536,125.335170
"情报理论与实践,",2012,15,13,30.621923,114.370020
"情报理论与实践,",2012,3,3,39.995304,116.308264
"情报理论与实践,",2012,9,9,39.982777,116.319649
"情报理论与实践,",2012,2,2,43.854536,125.335170
"情报理论与实践,",2012,1,1,31.767250,117.184869
"情报理论与实践,",2012,5,5,,
"情报理论与实践,",2012,12,9,43.914611,125.399089
"情报理论与实践,",2012,2,2,29.811634,106.416023
"情报理论与实践,",2012,16,16,39.982777,116.319649
"情报理论与实践,",2012,3,3,45.776638,126.681632
"情报理论与实践,",2012,23,23,30.536660,114.375096
"情报理论与实践,",2012,9,9,23.148383,113.340448
"情报理论与实践,",2012,4,4,32.054463,118.780906
